                                                                                     List of relations
 Schema |                              Name                               | Type  |     Owner     |             Table             | Persistence | Access method |    Size    | Description 
--------+-----------------------------------------------------------------+-------+---------------+-------------------------------+-------------+---------------+------------+-------------
 public | api_activity_log_pkey                                           | index | johnhoinville | api_activity_log              | permanent   | btree         | 488 kB     | 
 public | auth_configs_domain_project_role_key                            | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | auth_configs_pkey                                               | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | automated_result_review_queue_pkey                              | index | johnhoinville | automated_result_review_queue | permanent   | btree         | 8192 bytes | 
 public | automated_result_review_queue_test_instance_id_automated_re_key | index | johnhoinville | automated_result_review_queue | permanent   | btree         | 8192 bytes | 
 public | automated_test_results_pkey                                     | index | johnhoinville | automated_test_results        | permanent   | btree         | 32 kB      | 
 public | automated_test_results_test_session_id_page_id_tool_name_key    | index | johnhoinville | automated_test_results        | permanent   | btree         | 40 kB      | 
 public | automated_test_rules_criterion_number_tool_name_rule_id_key     | index | johnhoinville | automated_test_rules          | permanent   | btree         | 16 kB      | 
 public | automated_test_rules_pkey                                       | index | johnhoinville | automated_test_rules          | permanent   | btree         | 16 kB      | 
 public | automated_test_runs_pkey                                        | index | johnhoinville | automated_test_runs           | permanent   | btree         | 16 kB      | 
 public | automated_test_runs_run_id_key                                  | index | johnhoinville | automated_test_runs           | permanent   | btree         | 16 kB      | 
 public | change_approval_escalations_pkey                                | index | johnhoinville | change_approval_escalations   | permanent   | btree         | 8192 bytes | 
 public | change_approval_requests_pkey                                   | index | johnhoinville | change_approval_requests      | permanent   | btree         | 8192 bytes | 
 public | change_approval_rules_pkey                                      | index | johnhoinville | change_approval_rules         | permanent   | btree         | 16 kB      | 
 public | change_approvals_pkey                                           | index | johnhoinville | change_approvals              | permanent   | btree         | 8192 bytes | 
 public | coverage_metrics_pkey                                           | index | johnhoinville | coverage_metrics              | permanent   | btree         | 8192 bytes | 
 public | coverage_metrics_timestamp_key                                  | index | johnhoinville | coverage_metrics              | permanent   | btree         | 8192 bytes | 
 public | crawler_auth_sessions_pkey                                      | index | johnhoinville | crawler_auth_sessions         | permanent   | btree         | 16 kB      | 
 public | crawler_discovered_pages_pkey                                   | index | johnhoinville | crawler_discovered_pages      | permanent   | btree         | 400 kB     | 
 public | crawler_metrics_pkey                                            | index | johnhoinville | crawler_metrics               | permanent   | btree         | 8192 bytes | 
 public | crawler_runs_pkey                                               | index | johnhoinville | crawler_runs                  | permanent   | btree         | 16 kB      | 
 public | database_backups_pkey                                           | index | johnhoinville | database_backups              | permanent   | btree         | 16 kB      | 
 public | discovered_pages_discovery_id_url_key                           | index | johnhoinville | discovered_pages              | permanent   | btree         | 16 kB      | 
 public | discovered_pages_pkey                                           | index | johnhoinville | discovered_pages              | permanent   | btree         | 16 kB      | 
 public | evidence_repository_pkey                                        | index | johnhoinville | evidence_repository           | permanent   | btree         | 8192 bytes | 
 public | frontend_test_runs_pkey                                         | index | postgres      | frontend_test_runs            | permanent   | btree         | 16 kB      | 
 public | idx_api_activity_log_action_type                                | index | johnhoinville | api_activity_log              | permanent   | btree         | 128 kB     | 
 public | idx_api_activity_log_timestamp                                  | index | johnhoinville | api_activity_log              | permanent   | btree         | 352 kB     | 
 public | idx_api_activity_log_user_id                                    | index | johnhoinville | api_activity_log              | permanent   | btree         | 120 kB     | 
 public | idx_audit_log_change_type                                       | index | johnhoinville | test_instance_audit_log       | permanent   | btree         | 16 kB      | 
 public | idx_audit_log_created_at                                        | index | johnhoinville | test_instance_audit_log       | permanent   | btree         | 40 kB      | 
 public | idx_audit_log_test_instance                                     | index | johnhoinville | test_instance_audit_log       | permanent   | btree         | 40 kB      | 
 public | idx_auth_configs_domain_project                                 | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | idx_auth_configs_idp_domain                                     | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | idx_auth_configs_is_default                                     | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | idx_auth_configs_priority                                       | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | idx_auth_configs_role                                           | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | idx_auth_configs_type                                           | index | johnhoinville | auth_configs                  | permanent   | btree         | 16 kB      | 
 public | idx_automated_results_page_id                                   | index | johnhoinville | automated_test_results        | permanent   | btree         | 16 kB      | 
 public | idx_automated_results_session_id                                | index | johnhoinville | automated_test_results        | permanent   | btree         | 16 kB      | 
 public | idx_automated_results_tool                                      | index | johnhoinville | automated_test_results        | permanent   | btree         | 16 kB      | 
 public | idx_automated_test_results_auth_config                          | index | johnhoinville | automated_test_results        | permanent   | btree         | 16 kB      | 
